ID,用例名称,所属模块,标签,前置条件,备注,步骤描述,预期结果,编辑模式,用例等级,责任人,用例状态
,更多热力图>品种 - 成交额,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于热力图-品种tab界面
2. 修改品种下拉为指数、绘制模式下拉为成交额
3. 观察下方热力图绘制
4. 修改品种下拉为主力
5. 再次观察下方热力图绘制","1. _
2. _
3. 色块显示合约中文指数，绘制结果正确，且三端统一
4. _
5. 色块显示主力合约具体合约号，绘制结果正确，且三端统一",STEP,P2,july,Prepare
,更多热力图>品种 - 沉淀资金,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于热力图-品种tab界面
2. 修改品种下拉为指数、绘制模式下拉为沉淀资金
3. 观察下方热力图绘制
4. 修改品种下拉为主力
5. 再次观察下方热力图绘制","1. _
2. _
3. 色块显示合约中文指数，绘制结果正确，且三端统一
4. _
5. 色块显示主力合约具体合约号，绘制结果正确，且三端统一",STEP,P3,july,Prepare
,更多热力图>品种 - 资金流向,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于热力图-品种tab界面
2. 修改品种下拉为指数、绘制模式下拉为资金流向
3. 观察下方热力图绘制
4. 修改品种下拉为主力
5. 再次观察下方热力图绘制","1. _
2. _
3. 色块显示合约中文指数，绘制结果正确，且三端统一
4. _
5. 色块显示主力合约具体合约号，绘制结果正确，且三端统一",STEP,P3,july,Prepare
,更多热力图>点击品种色块，跳转,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于热力图-品种tab界面
2. 点击品种色块里的 沪金主力
3. 点击左上角退出按钮，或者调用手机系统的返回键、返回手势","1. _
2. 与首页的合约跳转一致，跳转到  上期所+定位到沪金处
3. 无法返回到原页面？",STEP,P2,july,Prepare
,界面刷新逻辑校验>界面停留不自动刷新,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于更多热力图界面
2. 同时打开两部手机A、B测试
3. A、B手机在界面等待5min
4. B手机退出界面，重新进入
5. 观察A、B热力图
6. A手机也退出界面，重新进入","1. _
2. _
3. 期间A、B手机的热力图内容不会刷新
4. _
5. B手机成功更新成了新热力图，部分合约选取、色块面积大小已与A不同
6. A手机也成功刷新成功最新内容",STEP,P2,july,Prepare
,界面刷新逻辑校验>切换tab刷新,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于更多热力图界面
2. 停留在界面5min
3. 此时切换tab，由板块切到品种，再返回板块","1. _
2. _
3. 热力图内容成功刷新",STEP,P2,july,Prepare
,界面刷新逻辑校验>切换下拉项刷新,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于更多热力图界面
2. 停留在界面5min
3. 此时切换下拉筛选，由成交量切到沉淀资金，再返回成交量","1. _
2. _
3. 热力图内容成功刷新",STEP,P2,july,Prepare
,更多热力图>切换tab  长期保存,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于更多热力图界面
2. 默认进入选择了板块tab
3. 修改到品种tab
4. app重启，再次进入更多热力图界面","1. _
2. _
3. _
4. 依然选中的是“品种”tab，该选择长期保存",STEP,P2,july,Prepare
,更多热力图>下拉选择  长期保存,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于更多热力图界面
2. 默认选择了成交量 下拉项
3. 修改到 沉淀资金
4. app重启，再次进入更多热力图界面","1. _
2. _
3. _
4. 依然选中的时“沉淀资金”下拉项，该选择长期保存",STEP,P2,july,Prepare
,更多热力图>说明感叹号,/v4.1.0/新增行情总览页/,,无,无,"1. 当前处于更多热力图界面
2. 点击右上角的黑色说明感叹号","1. _
2. 正确弹出 弹出功能说明，说明内容符合需求",STEP,P3,july,Prepare
,配置项验证>入口位置,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 展开右菜单
2. 滑动到交易相关
3. 点击【交易界面风格设置】","1. 点击进入【设置】
2. _
3. 成功进入交易界面风格设置",STEP,P2,july,Prepare
,配置项验证>默认值,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于【交易界面风格设置】设置项周边
2. 观察默认设置
3. 观察其余配置","1. _
2. 默认选择【权益、可用、盈亏】，点击可切换到其余风格
3. 新增了一项配置，市值权益【市值权益、可用、使用率】",STEP,P3,july,Prepare
,配置项验证>云端同步,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 修改资金栏设置为 市值权益【市值权益、可用、使用率】
2. app上传本地配置
3. 再次修改资金栏设置为 盈亏【权益、可用、盈亏】
4. 从云端下载配置项
5. 重新进入配置项，观察","1. _
2. 成功上传到云端
3. _
4. 配置项下载成功
5. 同步成功，恢复到了之前的 市值权益【市值权益、可用、使用率】",STEP,P2,july,Prepare
,功能验证>返回交易面板即生效,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于交易面板界面
2. 观察此时的资金栏
3. 进入设置中，修改交易界面风格设置
4. 修改为 市值权益【市值权益、可用、使用率】","1. _
2. 资金栏时默认的【权益、可用、盈亏】
3. _
4. _",STEP,P2,july,Prepare
,资金隐藏功能>资金隐藏默认开启,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前为更新app后，首次打开
2. app登录交易账号，顺利进入交易面板
3. 观察资金栏的资金隐藏状态","1. _
2. _
3. 资金默认隐藏，眼睛icon为闭眼状态",STEP,P3,july,Prepare
,资金隐藏功能>点击眼睛icon，切换隐藏状态,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于交易面板
2. 点击眼睛icon","1. 当前眼睛icon为闭眼状态
2. 眼睛icon切换为了睁眼状态，左侧3个资金数字由***变为具体数字，不再隐藏",STEP,P2,july,Prepare
,资金隐藏功能>点价下单与交易面板联动,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于交易面板
2. 点击切换眼睛icon
3. 点击左上角图标，进入点价下单
4. 观察点价下单的资金栏隐藏状态","1. 当前眼睛icon为闭眼状态
2. _
3. _
4. 点价下单的资金栏页联动为了不隐藏",STEP,P2,july,Prepare
,资金隐藏功能>多账号切换不影响隐藏状态,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于交易面板
2. 点击眼睛icon
3. 此时登录多账号B，观察B账号下，资金隐藏状态","1. 当前眼睛icon为闭眼状态
2. 眼睛icon切换为了睁眼状态，左侧3个资金数字由***变为具体数字，不再隐藏
3. 资金隐藏状态暂时保存，此次app开启期间都遵循同一内存值。因此也是睁眼状态",STEP,P2,july,Prepare
,资金隐藏功能>资金隐藏状态暂时保存,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于交易面板
2. 点击眼睛icon
3. app重启，重新登录交易账号，观察资金栏隐藏状态","1. 当前眼睛icon为闭眼状态
2. 眼睛icon切换为了睁眼状态，左侧3个资金数字由***变为具体数字，不再隐藏
3. 又恢复成了默认的不隐藏",STEP,P3,july,Prepare
,资金隐藏功能>点价下单首字段不修改,/v4.1.0/交易面板新增资金栏样式/,,无,无,"1. 当前处于交易面板
2. 点击眼睛icon
3. 点击左上角图标，进入点价下单
4. 观察点价下单的资金栏隐藏状态","1. 当前眼睛icon为闭眼状态
2. 眼睛icon切换为了睁眼状态
3. 点价下单过去特殊定制过，首字段会变为“浮盈”。此次修改不影响旧需求
4. “浮盈”字段正确被隐藏",STEP,P3,july,Prepare
,配置项验证>入口位置,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. 展开右菜单
2. 滑动到报价相关
3. 点击【报价抬头设置】
4. 点击【证券报价抬头设置】","1. 点击进入【设置】
2. _
3. _
4. 成功进入流通市值、换手率新增的页面",STEP,P2,july,Prepare
,配置项验证>默认值,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. 当前处于【证券报价抬头设置】设置
2. 观察默认设置","1. _
2. 默认将流通市值、换手率添加到了  常用抬头的最下方",STEP,P3,july,Prepare
,配置项验证>滑块动画,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. 当前处于【证券报价抬头设置】设置
2. 长按右侧滑块，尝试拖动流通市值
3. 长按右侧滑块，尝试拖动换手率","1. _
2. 滑块滑动动画流畅
3. 滑块滑动动画流畅",STEP,P3,july,Prepare
,配置项验证>云端同步,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. app上传本地的【证券报价抬头设置】配置
2. 修改讲流通市值、换手率调整至可添加的抬头
3. 返回证券行情列表，确认这两项已被隐藏
4. 从云端下载配置项
5. 重新进入配置项，观察
6. 返回证券行情列表，确认这两项正常开启","1. 成功上传到云端，云端上现在流通市值、换手率都启用并且在最下方
2. _
3. _
4. 配置项下载成功
5. 同步成功，恢复到了之前
6. _",STEP,P2,july,Prepare
,功能验证>换手率与行情内部换手率一致,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. 当前处于证券行情列表
2. 点击进入任意证券合约 eg：白云机场
3. 返回到行情列表，观察新增的换手率字段","1. _
2. 观察到内部的换手率为A
3. 换手率字段为B，A=B",STEP,P2,july,Prepare
,功能验证>换手率无字体红绿变色,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. 当前处于证券行情列表
2. 观察换手率的红绿展示","1. _
2. 换手率无字体红绿变色，统一为黑色，与合约内部保持一致的小数位数",STEP,P3,july,Prepare
,功能验证>流通市值无字体红绿变色,/v4.1.0/证券行情列表新增换手率、流通市值/,,无,无,"1. 当前处于证券行情列表
2. 观察流通市值的红绿展示","1. _
2. 流通市值无字体红绿变色，统一为黑色；随着实值大小，可能会变为万、亿为单位的数值",STEP,P3,july,Prepare
,配置项验证>入口位置,/v4.1.0/系统选项增加默认初始页/,,无,无,"1. 展开右菜单
2. 滑动到系统相关
3. 点击【默认初始页】","1. 点击进入【设置】
2. 观察到【默认初始页】配置在【关爱模式】下方
3. 此设置只有外部开关，没有二级页面，点击无效果",STEP,P2,july,Prepare
,配置项验证>默认值,/v4.1.0/系统选项增加默认初始页/,,无,无,"1. 当前处于【默认初始页】设置项周边
2. 观察默认设置","1. _
2. 默认选择【首页】，点击可切换到【自选】",STEP,P3,july,Prepare
,配置项验证>滑块动画,/v4.1.0/系统选项增加默认初始页/,,无,无,"1. 当前处于【默认初始页】设置项周边
2. 点击切换","1. _
2. 滑块滑动动画流畅",STEP,P3,july,Prepare
,配置项验证>云端同步,/v4.1.0/系统选项增加默认初始页/,,无,无,"1. app上传本地的【默认初始页】配置
2. 修改默认初始页为 自选
3. 从云端下载配置项
4. 重新进入配置项，观察","1. 成功上传到云端，默认初始页为首页
2. _
3. 配置项下载成功
4. 同步成功，恢复到了之前的首页初始页",STEP,P2,july,Prepare
,功能验证>配置重启生效,/v4.1.0/系统选项增加默认初始页/,,无,无,"1. 当前默认初始页为首页
2. 修改初始页为 自选
3. app重启，观察初始停留页","1. _
2. _
3. 初始停留在自选",STEP,P2,july,Prepare
,功能验证>无自选合约时跳转行情,/v4.1.0/系统选项增加默认初始页/,,无,无,"1. 当前已修改初始页为 自选
2. 此时清空自选
3. app重启，观察初始停留页","1. _
2. _
3. 初始停留在了行情列表-内盘主力",STEP,P3,july,Prepare
,有外盘主力的合约，切换成功,/v4.1.0/外盘合约切换主力/,,无,无,"1. 当前自选列表中存有，有外盘主力的非主力合约（COMEX交易所的-美铜、美黄金）
2. 点击自选左上角，进入自选配置界面
3. 点击下方，一键切换主力","1. _
2. _
3. 有外盘主力的合约，成功切换成了各自主力合约",STEP,P2,july,Prepare
,无外盘主力的合约，切换失败,/v4.1.0/外盘合约切换主力/,,无,无,"1. 当前自选列表中存有，有外盘主力的合约（COMEX交易所的-小型铜、1盎司黄金）
2. 点击自选左上角，进入自选配置界面
3. 点击下方，一键切换主力","1. _
2. _
3. 各个合约没有变化，但也不做提示",STEP,P3,july,Prepare
,外盘延时行情不切换,/v4.1.0/外盘合约切换主力/,,无,无,"1. 当前自选列表中存有，有外盘主力的延时合约（COMEX交易所的-美铜延时、美黄金延时）
2. 点击自选左上角，进入自选配置界面
3. 点击下方，一键切换主力","1. _
2. _
3. 各个合约没有变化，但也不做提示",STEP,P3,july,Prepare
,行情图表适配平板大屏,/v4.1.0/行情图表适配不同屏幕/,,无,无,"1. 当前使用平板大屏测试手机
2. 打开新版app，进入行情图表界面
3. 观察分时图、K线整体UI布局","1. _
2. _
3. 新版app适配了平板大屏幕，整体界面无明显偏小字体、异常拉长图形",STEP,P2,july,Prepare
,行情图表适配折叠屏,/v4.1.0/行情图表适配不同屏幕/,,无,无,"1. 当前使用折叠屏测试手机
2. 打开新版app，进入行情图表界面
3. 观察分时图、K线整体UI布局
4. 将手机折叠，观察动态变化下，app界面的显示","1. _
2. _
3. 新版app适配了折叠屏，整体界面无明显偏小字体、异常拉长图形
4. 显示依旧稳定，恢复、折叠没有明显不可逆形变、异常UI",STEP,P2,july,Prepare
,关爱模式下适配平板大屏,/v4.1.0/行情图表适配不同屏幕/,,无,无,"1. 当前开启了关爱模式
2. 当前使用平板大屏测试手机
3. 打开新版app，进入行情图表界面
4. 观察分时图、K线整体UI布局","1. _
2. _
3. _
4. 新版app适配了平板大屏幕，整体界面无明显偏小字体、异常拉长图形",STEP,P3,july,Prepare
,关爱模式下适配折叠屏,/v4.1.0/行情图表适配不同屏幕/,,无,无,"1. 当前开启了关爱模式
2. 当前使用折叠屏测试手机
3. 打开新版app，进入行情图表界面
4. 观察分时图、K线整体UI布局
5. 将手机折叠，观察动态变化下，app界面的显示","1. _
2. _
3. _
4. 新版app适配了折叠屏，整体界面无明显偏小字体、异常拉长图形
5. 显示依旧稳定，恢复、折叠没有明显不可逆形变、异常UI",STEP,P3,july,Prepare
